BIME11,Híbrido
BLMR11,Títulos e Val. Mob.
RCRB11,Lajes Corporativas
MBRF11,Outros
DRIT11B,Lajes Corporativas
FAED11,Outros
CTXT11,Lajes Corporativas
BMLC11,Lajes Corporativas
DEVA11,Títulos e Val. Mob.
GESE11B,Outros
MAXR11,Outros
BRCR11,Híbrido
JRDM11,Shoppings
EQIN11,Títulos e Val. Mob.
FLCR11,Títulos e Val. Mob.
DVFF11,Híbrido
BTCR11,Títulos e Val. Mob.
FEXC11,Títulos e Val. Mob.
BCFF11,Títulos e Val. Mob.
XPIN11,Outros
VSLH11,Outros
TORD11,Outros
VGIR11,Títulos e Val. Mob.
SRVD11,Títulos e Val. Mob.
CEOC11,Lajes Corporativas
SEQR11,Outros
RBRL11,Logística
RELG11,Híbrido
BLMG11,Logística
RBRR11,Títulos e Val. Mob.
RBRP11,Outros
MGLG11,Logística
GTLG11,Logística
RECT11,Híbrido
RECR11,Títulos e Val. Mob.
ONEF11,Lajes Corporativas
CPFF11,Híbrido
RBIR11,Residencial
BLCA11,Lajes Corporativas
RVBI11,Títulos e Val. Mob.
CVBI11,Títulos e Val. Mob.
CARE11,Híbrido
VJFD11,Híbrido
WTSP11B,Híbrido
VVPR11,Híbrido
SPTW11,Lajes Corporativas
VTLT11,Logística
RFOF11,Títulos e Val. Mob.
GALG11,Híbrido
RBGS11,Shoppings
