EXCELSIOR,BAUH4
EZTEC,EZTC3
FER C ATLANT,VSPT3
FER C ATLANT,VSPT4
FER HERINGER,FHER3
FERBASA,FESA3
FERBASA,FESA4
FINANSINOS,FNCN3
FLEURY,FLRY3
FLEX S/A,FLEX3
FOCUS ON,POWE3
FRAS-LE,FRAS3
G2D INVEST,G2DI33
GAFISA,GFSA3
GENERALSHOPP,GSHP3
GER PARANAP,GEPA3
GER PARANAP,GEPA4
GERDAU,GGBR3
GERDAU,GGBR4
GERDAU MET,GOAU3
GERDAU MET,GOAU4
GETNET BR,GETT11
GETNET BR,GETT3
GETNET BR,GETT4
GETNINJAS,NINJ3
GOL,GOLL4
GP INVEST,GPIV33
GPS,GGPS3
GRAZZIOTIN,CGRA3
GRAZZIOTIN,CGRA4
GRENDENE,GRND3
GRUPO MATEUS,GMAT3
GRUPO NATURA,NTCO3
GRUPO SBF,SBFG3
GRUPO SOMA,SOMA3
GUARARAPES,GUAR3
HABITASUL,HBTS3
HABITASUL,HBTS5
HABITASUL,HBTS6
HAGA S/A,HAGA3
HAGA S/A,HAGA4
HAPVIDA,HAPV3
HBR REALTY,HBRE3
HELBOR,HBOR3
HERCULES,HETA3
HERCULES,HETA4
HIDROVIAS,HBSA3
HOTEIS OTHON,HOOT3
HOTEIS OTHON,HOOT4
HYPERA,HYPE3
IGB S/A,IGBR3
IGUA SA,IGSN3
IGUATEMI,IGTA3
IGUATEMI S.A,IGTI11
IGUATEMI S.A,IGTI3
IHPARDINI,PARD3
IMC S/A,MEAL3
IND CATAGUAS,CATA3
IND CATAGUAS,CATA4
INDS ROMI,ROMI3
INEPAR,INEP3
INEPAR,INEP4
INFRACOMM,IFCM3
INTELBRAS,INTB3
INTER SA,INNT3
INTERMEDICA,GNDI3
INVEST BEMGE,FIGE3
INVEST BEMGE,FIGE4
IOCHP-MAXION,MYPK3
IRANI,RANI3
IRBBRASIL RE,IRBR3
ITAUSA,ITSA3
ITAUSA,ITSA4
ITAUTEC,ITEC3
ITAUUNIBANCO,ITUB3
ITAUUNIBANCO,ITUB4
JALLESMACHAD,JALL3
JBS,JBSS3
JHSF PART,JHSF3
JOAO FORTES,JFEN3
JOSAPAR,JOPA3
JOSAPAR,JOPA4
KALLAS,KLAS3
KARSTEN,CTKA3
KARSTEN,CTKA4
KEPLER WEBER,KEPL3
KLABIN S/A,KLBN11
KLABIN S/A,KLBN3
KLABIN S/A,KLBN4
KORA SAUDE,KRSA3
LAVVI,LAVV3
LE BISCUIT,LLBI3
LE BISCUIT,LLBI4
LIFEMED,LMED3
LIGHT S/A,LIGT3
LOCALIZA,RENT3
LOCAMERICA,LCAM3
LOCAWEB,LWSA3
LOG COM PROP,LOGG3
LOG-IN,LOGN3
LOJAS AMERIC,LAME3
